city,coordinates.latitude,coordinates.longitude,count,country,distance,firstUpdated,lastUpdated,location,parameters,sourceName,sourceNames
Paris,48.85279,2.360557,13194,FR,5878049,2017-09-20 15:00:00+00:00,2019-08-05 06:00:00+00:00,FR04141,['no2'],EEA France,['EEA France']
Paris,48.858997,2.3509989,65961,FR,5877128,2017-09-20 08:00:00+00:00,2019-08-05 06:00:00+00:00,FR04143,"['co', 'o3', 'pm10', 'no2', 'pm25']",EEA France,['EEA France']
Paris,48.830383,2.26989,25780,FR,5873021,2017-09-20 14:00:00+00:00,2019-08-05 06:00:00+00:00,FR04179,"['pm10', 'no2']",EEA France,['EEA France']
Paris,48.838604,2.412785,39142,FR,5882183,2017-09-20 14:00:00+00:00,2019-08-05 06:00:00+00:00,FR04329,"['pm10', 'pm25', 'no2']",EEA France,['EEA France']
London,51.5993,-0.068218,31010,GB,5601212,2015-08-12 18:00:00+00:00,2019-08-05 08:00:00+00:00,Haringey Roadside,"['pm25', 'no2']",DEFRA,"['Greater London', 'DEFRA']"
London,51.46603,0.184806,53166,GB,5622867,2015-08-13 02:00:00+00:00,2019-08-05 08:00:00+00:00,London Bexley,"['pm25', 'no2']",DEFRA,"['Greater London', 'DEFRA']"
London,51.52229,-0.125889,135918,GB,5600537,2015-08-12 17:00:00+00:00,2019-08-05 08:00:00+00:00,London Bloomsbury,"['pm10', 'o3', 'pm25', 'no2', 'so2']",DEFRA,"['Greater London', 'DEFRA']"
London,51.45258,0.070766,80972,GB,5616030,2015-08-12 18:00:00+00:00,2019-08-05 08:00:00+00:00,London Eltham,"['pm25', 'o3', 'no2']",DEFRA,"['Greater London', 'DEFRA']"
London,51.58413,-0.125254,55546,GB,5598129,2015-08-12 18:00:00+00:00,2019-08-05 08:00:00+00:00,London Haringey Priory Park South,"['o3', 'no2']",DEFRA,"['Greater London', 'DEFRA']"
London,51.48879,-0.441614,98498,GB,5581426,2015-08-12 17:00:00+00:00,2019-08-05 08:00:00+00:00,London Harlington,"['no2', 'pm25', 'pm10', 'o3']",DEFRA,"['Greater London', 'DEFRA']"
London,51.617332,-0.298777,11219,GB,5585610,2015-08-19 02:00:00+00:00,2017-04-28 11:00:00+00:00,London Harrow Stanmore,['pm25'],DEFRA,"['Greater London', 'DEFRA']"
London,51.49633,-0.460861,57472,GB,5579882,2015-08-12 17:00:00+00:00,2019-08-05 08:00:00+00:00,London Hillingdon,"['o3', 'no2']",DEFRA,"['Greater London', 'DEFRA']"
London,51.52253,-0.154611,134117,GB,5598670,2015-08-12 18:00:00+00:00,2019-08-05 08:00:00+00:00,London Marylebone Road,"['no2', 'pm25', 'pm10', 'o3', 'so2']",DEFRA,"['Greater London', 'DEFRA']"
London,51.52105,-0.213492,126940,GB,5594920,2015-08-12 18:00:00+00:00,2019-08-05 08:00:00+00:00,London N. Kensington,"['no2', 'o3', 'pm10', 'pm25', 'so2']",DEFRA,"['Greater London', 'DEFRA']"
London,51.42099,-0.339647,13710,GB,5590708,2015-08-12 18:00:00+00:00,2016-07-27 10:00:00+00:00,London Teddington,"['o3', 'no2']",DEFRA,"['DEFRA', 'Greater London']"
London,51.425285,-0.345606,26845,GB,5590152,2015-08-12 17:00:00+00:00,2019-08-05 08:00:00+00:00,London Teddington Bushy Park,['pm25'],DEFRA,"['Greater London', 'DEFRA']"
London,51.49467,-0.131931,34630,GB,5601242,2015-08-12 17:00:00+00:00,2019-08-05 08:00:00+00:00,London Westminster,"['no2', 'pm25']",DEFRA,"['Greater London', 'DEFRA']"
London,51.544205,0.678408,71713,GB,5651574,2016-02-27 21:00:00+00:00,2019-08-05 08:00:00+00:00,Southend-on-Sea,"['o3', 'pm25', 'no2']",DEFRA,['DEFRA']
London,51.4805,-0.05955,52478,GB,5606487,2015-08-12 18:00:00+00:00,2019-08-05 08:00:00+00:00,Southwark A2 Old Kent Road,"['pm10', 'no2']",DEFRA,"['Greater London', 'DEFRA']"
London,51.47707,0.317969,97795,GB,5631029,2016-02-27 21:00:00+00:00,2019-08-05 08:00:00+00:00,Thurrock,"['pm10', 'so2', 'no2', 'o3']",DEFRA,['DEFRA']
London,51.52253,-0.042155,23947,GB,5605941,2015-08-14 10:00:00+00:00,2019-08-05 08:00:00+00:00,Tower Hamlets Roadside,['no2'],DEFRA,"['Greater London', 'DEFRA']"
