datetime,station_antwerp,station_paris,station_london
2019-04-13 19:00:00,,17.3,31.0
2019-04-13 20:00:00,,21.1,31.0
2019-04-13 21:00:00,,29.2,29.0
2019-04-13 22:00:00,,38.4,28.0
2019-04-13 23:00:00,,43.8,31.0
2019-04-14 00:00:00,,47.0,31.0
2019-04-14 01:00:00,,47.8,27.0
2019-04-14 02:00:00,,41.1,27.0
2019-04-14 03:00:00,,37.9,30.0
2019-04-14 04:00:00,,36.8,30.0
2019-04-14 05:00:00,,33.3,25.0
2019-04-14 06:00:00,,29.0,25.0
2019-04-14 07:00:00,,30.6,35.0
2019-04-14 08:00:00,,33.6,38.0
2019-04-14 09:00:00,,34.1,36.0
2019-04-14 10:00:00,,38.3,27.0
2019-04-14 11:00:00,,33.9,25.0
2019-04-14 12:00:00,,17.3,24.0
2019-04-14 13:00:00,,19.7,29.0
2019-04-14 14:00:00,,17.5,24.0
2019-04-14 15:00:00,,15.4,19.0
2019-04-14 16:00:00,,15.1,21.0
2019-04-14 17:00:00,,14.2,23.0
2019-04-14 18:00:00,,14.9,23.0
2019-04-14 19:00:00,,16.1,23.0
2019-04-14 20:00:00,,21.5,23.0
2019-04-14 21:00:00,,23.2,26.0
2019-04-14 22:00:00,,29.7,30.0
2019-04-14 23:00:00,,34.4,32.0
2019-04-15 00:00:00,,35.1,32.0
2019-04-15 01:00:00,,29.6,39.0
2019-04-15 02:00:00,,29.5,39.0
2019-04-15 03:00:00,30.5,28.1,32.0
2019-04-15 04:00:00,32.0,27.5,32.0
2019-04-15 05:00:00,36.5,27.9,34.0
2019-04-15 06:00:00,49.0,33.2,34.0
2019-04-15 07:00:00,63.0,52.9,45.0
2019-04-15 08:00:00,64.0,67.3,46.0
2019-04-15 09:00:00,54.0,61.2,46.0
2019-04-15 10:00:00,43.5,53.9,42.0
2019-04-15 11:00:00,29.5,28.0,32.0
2019-04-15 12:00:00,25.0,17.4,30.0
2019-04-15 13:00:00,25.0,13.6,27.0
2019-04-15 14:00:00,29.5,13.4,30.0
2019-04-15 15:00:00,31.0,13.1,40.0
2019-04-15 16:00:00,28.0,12.8,42.0
2019-04-15 17:00:00,32.0,13.4,45.0
2019-04-15 18:00:00,,14.3,47.0
2019-04-15 19:00:00,,15.5,48.0
2019-04-15 20:00:00,,21.4,46.0
2019-04-15 21:00:00,,32.4,48.0
2019-04-15 22:00:00,,40.9,49.0
2019-04-15 23:00:00,,33.5,47.0
2019-04-16 00:00:00,,29.9,47.0
2019-04-16 01:00:00,,26.9,45.0
2019-04-16 02:00:00,,29.7,
2019-04-16 03:00:00,27.5,36.8,45.0
2019-04-16 04:00:00,21.5,34.2,45.0
2019-04-16 05:00:00,,34.6,46.0
2019-04-16 06:00:00,,60.1,46.0
2019-04-16 07:00:00,,76.9,54.0
